hostname,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,time
scn-GE72-2QD,1.56,1.54,1.5,1.51,1.37,1.08,0.9,0.92,1492008897389
scn-GE72-2QD,1.55,1.54,1.5,1.5,1.37,1.08,0.9,0.92,1492008902402
scn-GE72-2QD,1.55,1.54,1.5,1.5,1.37,1.08,0.9,0.91,1492008907412
scn-GE72-2QD,1.55,1.54,1.5,1.5,1.37,1.08,0.9,0.91,1492008912419
scn-GE72-2QD,1.55,1.54,1.49,1.5,1.36,1.07,0.9,0.91,1492008917426
scn-GE72-2QD,3.04,2.12,2.01,3.13,2.64,2.29,5.91,1.32,1492017834468
scn-GE72-2QD,2.98,2.09,1.97,3.06,2.58,2.24,5.75,1.3,1492017839480
scn-GE72-2QD,2.92,2.05,1.94,3.04,2.52,2.2,5.58,1.27,1492017844491
scn-GE72-2QD,2.86,2.01,1.9,2.98,2.46,2.15,5.42,1.24,1492017849499
scn-GE72-2QD,2.79,1.96,1.86,2.97,2.41,2.11,5.28,1.22,1492017854506
scn-GE72-2QD,2.73,1.93,1.83,2.91,2.35,2.07,5.14,1.2,1492017859513
scn-GE72-2QD,2.69,1.89,1.79,2.87,2.35,2.03,5.02,1.19,1492017864521
scn-GE72-2QD,2.63,1.86,1.77,2.9,2.3,2,4.9,1.17,1492017869529
scn-GE72-2QD,2.6,1.84,1.76,2.91,2.28,1.96,4.87,1.16,1492017874537
scn-GE72-2QD,2.57,1.9,1.78,2.88,2.33,1.99,4.83,1.15,1492017879542
scn-GE72-2QD,1.39,1.27,1.23,1.53,1.26,1.12,1.89,0.82,1492018716331
scn-GE72-2QD,1.38,1.27,1.23,1.52,1.26,1.11,1.89,0.82,1492018721343
scn-GE72-2QD,1.38,1.26,1.22,1.52,1.26,1.11,1.88,0.81,1492018726353
scn-GE72-2QD,1.38,1.27,1.22,1.52,1.26,1.11,1.87,0.81,1492018731360
scn-GE72-2QD,1.39,1.29,1.24,1.56,1.26,1.11,1.87,0.82,1492018736365
scn-GE72-2QD,1.4,1.3,1.27,1.56,1.26,1.11,1.88,0.84,1492018741371
scn-GE72-2QD,1.4,1.3,1.27,1.55,1.26,1.1,1.89,0.84,1492018746375
scn-GE72-2QD,1.4,1.3,1.28,1.56,1.26,1.11,1.88,0.87,1492018751382
scn-GE72-2QD,1.4,1.3,1.28,1.56,1.26,1.11,1.88,0.89,1492018756390
scn-GE72-2QD,1.47,1.32,1.3,1.59,1.27,1.12,1.88,0.92,1492018761397
scn-GE72-2QD,1.49,1.34,1.32,1.64,1.29,1.12,1.93,0.94,1492018766404
scn-GE72-2QD,1.49,1.34,1.34,1.66,1.3,1.13,1.92,0.94,1492018771409
scn-GE72-2QD,1.5,1.36,1.35,1.68,1.31,1.13,1.93,0.96,1492018776416
scn-GE72-2QD,1.5,1.35,1.34,1.67,1.31,1.13,1.92,0.96,1492018781423
scn-GE72-2QD,1.5,1.36,1.35,1.68,1.31,1.14,1.92,0.97,1492018786430
scn-GE72-2QD,1.5,1.36,1.36,1.68,1.32,1.14,1.92,0.97,1492018791437
scn-GE72-2QD,1.55,1.38,1.38,1.68,1.33,1.14,1.92,0.98,1492018796444
scn-GE72-2QD,1.55,1.38,1.4,1.69,1.34,1.14,1.92,0.98,1492018801447
scn-GE72-2QD,1.55,1.38,1.4,1.69,1.33,1.14,1.92,0.99,1492018806453
scn-GE72-2QD,1.54,1.38,1.39,1.68,1.33,1.13,1.91,0.99,1492018811461
scn-GE72-2QD,1.54,1.37,1.39,1.67,1.32,1.13,1.9,1,1492018816467
scn-GE72-2QD,1.53,1.38,1.39,1.67,1.32,1.13,1.89,1,1492018821475
scn-GE72-2QD,1.53,1.4,1.4,1.67,1.32,1.13,1.89,1,1492018826483
scn-GE72-2QD,1.54,1.41,1.41,1.68,1.33,1.14,1.89,1.01,1492018831488
scn-GE72-2QD,1.53,1.4,1.41,1.67,1.32,1.13,1.88,1.01,1492018836494
scn-GE72-2QD,1.53,1.4,1.41,1.67,1.33,1.13,1.88,1,1492018841502
scn-GE72-2QD,1.54,1.4,1.41,1.68,1.33,1.13,1.88,1,1492018846512
scn-GE72-2QD,1.54,1.4,1.43,1.67,1.33,1.13,1.87,1,1492018851517
scn-GE72-2QD,1.54,1.4,1.42,1.67,1.33,1.13,1.88,0.99,1492018856520
scn-GE72-2QD,1.53,1.39,1.42,1.67,1.33,1.15,1.87,0.99,1492018861526
scn-GE72-2QD,1.54,1.4,1.42,1.67,1.33,1.15,1.87,1,1492018866532
scn-GE72-2QD,1.55,1.4,1.44,1.67,1.34,1.15,1.86,0.99,1492018871538
scn-GE72-2QD,1.54,1.4,1.44,1.67,1.34,1.15,1.86,0.99,1492018876545
scn-GE72-2QD,1.55,1.4,1.46,1.67,1.34,1.15,1.85,0.99,1492018881550
scn-GE72-2QD,1.55,1.4,1.46,1.67,1.33,1.14,1.85,0.99,1492018886557
scn-GE72-2QD,1.55,1.4,1.46,1.67,1.33,1.14,1.86,0.98,1492018891564
scn-GE72-2QD,1.55,1.4,1.46,1.67,1.33,1.13,1.85,0.98,1492018896571
scn-GE72-2QD,1.55,1.4,1.48,1.68,1.34,1.13,1.89,0.98,1492018901576
scn-GE72-2QD,1.56,1.4,1.48,1.67,1.34,1.13,1.89,0.98,1492018906582
scn-GE72-2QD,2.16,2.08,2.13,2.24,1.86,1.58,1.97,1.47,1492021126327
scn-GE72-2QD,2.16,2.08,2.13,2.24,1.85,1.58,1.97,1.47,1492021131340
scn-GE72-2QD,2.16,2.08,2.13,2.23,1.85,1.57,1.96,1.47,1492021136351
scn-GE72-2QD,2.15,2.08,2.13,2.23,1.85,1.57,1.96,1.47,1492021141361
scn-GE72-2QD,2.15,2.07,2.13,2.23,1.85,1.57,1.96,1.46,1492021146368
scn-GE72-2QD,2.15,2.07,2.13,2.23,1.85,1.57,1.96,1.47,1492021151375
scn-GE72-2QD,2.15,2.07,2.13,2.23,1.84,1.57,1.96,1.47,1492021156383
scn-GE72-2QD,2.15,2.07,2.13,2.22,1.84,1.57,1.96,1.47,1492021161390
scn-GE72-2QD,2.15,2.07,2.13,2.22,1.84,1.57,1.95,1.47,1492021166398
scn-GE72-2QD,2.14,2.06,2.13,2.22,1.84,1.56,1.95,1.46,1492021171404
scn-GE72-2QD,2.14,2.06,2.13,2.22,1.84,1.57,1.95,1.46,1492021176411
scn-GE72-2QD,2.14,2.06,2.12,2.21,1.84,1.56,1.95,1.46,1492021181418
scn-GE72-2QD,2.14,2.06,2.12,2.21,1.83,1.56,1.95,1.46,1492021186425
scn-GE72-2QD,2.13,2.05,2.12,2.21,1.83,1.56,1.95,1.46,1492021191432
scn-GE72-2QD,2.13,2.05,2.11,2.21,1.83,1.56,1.94,1.46,1492021196439
scn-GE72-2QD,2.13,2.05,2.11,2.2,1.83,1.56,1.94,1.46,1492021201446
scn-GE72-2QD,2.13,2.05,2.11,2.2,1.82,1.55,1.94,1.45,1492021206453
scn-GE72-2QD,2.12,2.04,2.11,2.2,1.82,1.55,1.93,1.45,1492021211460
scn-GE72-2QD,2.12,2.04,2.11,2.19,1.82,1.55,1.93,1.45,1492021216467
scn-GE72-2QD,2.12,2.04,2.11,2.19,1.82,1.55,1.93,1.45,1492021221474
scn-GE72-2QD,2.12,2.04,2.1,2.19,1.81,1.55,1.93,1.45,1492021226481
scn-GE72-2QD,2.12,2.04,2.1,2.19,1.82,1.55,1.93,1.44,1492021231486
scn-GE72-2QD,2.11,2.03,2.1,2.19,1.81,1.55,1.93,1.44,1492021236492
scn-GE72-2QD,2.11,2.03,2.1,2.18,1.81,1.55,1.92,1.44,1492021241498
scn-GE72-2QD,2.11,2.03,2.1,2.18,1.81,1.55,1.92,1.44,1492021246504
scn-GE72-2QD,2.12,2.03,2.1,2.19,1.81,1.55,1.92,1.44,1492021251518
scn-GE72-2QD,2.11,2.03,2.1,2.18,1.81,1.55,1.92,1.44,1492021256525
scn-GE72-2QD,2.11,2.03,2.09,2.18,1.81,1.55,1.92,1.44,1492021261530
scn-GE72-2QD,2.11,2.03,2.1,2.18,1.81,1.55,1.92,1.43,1492021266534
scn-GE72-2QD,2.1,2.02,2.09,2.17,1.8,1.54,1.91,1.43,1492021271542
scn-GE72-2QD,2.11,2.02,2.09,2.18,1.81,1.54,1.91,1.43,1492021276548
scn-GE72-2QD,2.06,1.99,1.99,1.99,1.84,1.33,1.48,1.19,1492160169485
scn-GE72-2QD,2.07,2,2.01,2.01,1.87,1.34,1.49,1.21,1492160665423
scn-GE72-2QD,2.07,2,2.01,2.01,1.87,1.34,1.49,1.21,1492160738596
scn-GE72-2QD,2.07,2,2.01,2.01,1.87,1.34,1.49,1.21,1492160743608
scn-GE72-2QD,2.07,2,2.01,2.01,1.87,1.34,1.49,1.21,1492160748617
scn-GE72-2QD,2.07,2.01,2.01,2.01,1.87,1.34,1.49,1.21,1492160753626
scn-GE72-2QD,2.08,2.01,2.01,2.02,1.88,1.34,1.49,1.21,1492160758632
scn-GE72-2QD,2.08,2.01,2.02,2.02,1.88,1.34,1.49,1.21,1492160763639
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.25,2.77,2.91,2.69,1492226791611
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.25,2.77,2.9,2.69,1492226796622
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.25,2.77,2.91,2.69,1492226801631
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.25,2.77,2.9,2.69,1492226806640
scn-GE72-2QD,1.67,4.34,4.3,4.24,3.24,2.77,2.9,2.69,1492226811644
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399105682
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399110694
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399115700
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399120708
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399125715
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399130718
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399135725
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399140732
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399145734
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399150739
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399155744
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399160750
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399165756
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399170763
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399175767
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399180771
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399185775
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399190779
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399195783
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399200787
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399205791
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399210795
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399215797
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399220802
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399225808
scn-GE72-2QD,2.65,2.93,2.83,2.85,2.5,2.1,1.97,2.1,1492399230814
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399235821
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399240825
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399245833
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399250841
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399255848
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399260854
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399265857
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399270864
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399275870
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399280875
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399285881
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399290888
scn-GE72-2QD,2.65,2.92,2.83,2.85,2.5,2.1,1.97,2.1,1492399295895
scn-GE72-2QD,2.63,2.89,2.8,2.82,2.47,2.08,1.95,2.08,1492403188554